source,target
5: gender equality,5.a.2: Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control
5: gender equality,"5.b.1: Proportion of individuals who own a mobile telephone, by sex"
5: gender equality,5.c.1: Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment
6: clean water and sanitation,6.1.1: Proportion of population using safely managed drinking water services
6: clean water and sanitation,"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water"
6: clean water and sanitation,6.3.1: Proportion of wastewater safely treated
6: clean water and sanitation,6.3.2: Proportion of bodies of water with good ambient water quality
6: clean water and sanitation,6.4.1: Change in water-use efficiency over time
6: clean water and sanitation,6.4.2: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
6: clean water and sanitation,6.5.1: Degree of integrated water resources management implementation (0-100)
6: clean water and sanitation,6.5.2: Proportion of transboundary basin area with an operational arrangement for water cooperation
6: clean water and sanitation,6.6.1: Change in the extent of water-related ecosystems over time
6: clean water and sanitation,6.a.1: Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan
6: clean water and sanitation,6.b.1: Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
7: affordable and clean energy,7.1.1: Proportion of population with access to electricity
7: affordable and clean energy,7.1.2: Proportion of population with primary reliance on clean fuels and technology
7: affordable and clean energy,7.2.1: Renewable energy share in the total final energy consumption
7: affordable and clean energy,7.3.1: Energy intensity measured in terms of primary energy and GDP
7: affordable and clean energy,"7.a.1: International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems"
7: affordable and clean energy,7.b.1: Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services
8: decent work and economic growth,8.1.1: Annual growth rate of real GDP per capita
8: decent work and economic growth,8.2.1: Annual growth rate of real GDP per employed person
8: decent work and economic growth,"8.3.1: Proportion of informal employment in non?agriculture employment, by sex"
8: decent work and economic growth,"8.5.1: Average hourly earnings of female and male employees, by occupation, age and persons with disabilities"
8: decent work and economic growth,"8.5.2: Unemployment rate, by sex, age and persons with disabilities"
8: decent work and economic growth,"8.6.1: Proportion of youth (aged 15-24 years) not in education, employment or training"
8: decent work and economic growth,"8.7.1: Proportion and number of children aged 5?17 years engaged in child labour, by sex and age"
8: decent work and economic growth,"8.8.1: Frequency rates of fatal and non-fatal occupational injuries, by sex and migrant status"
8: decent work and economic growth,"8.8.2: Level of national compliance of labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status"
8: decent work and economic growth,8.9.1: Tourism direct GDP as a proportion of total GDP and in growth rate
8: decent work and economic growth,8.9.2: Proportion of jobs in sustainable tourism industries out of total tourism jobs
8: decent work and economic growth,8.a.1: Aid for Trade commitments and disbursements
8: decent work and economic growth,"8.b.1: Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
8: decent work and economic growth,"8.10.1: (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
8: decent work and economic growth,8.10.2: Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider
8: decent work and economic growth,"8.4.1: Material footprint, material footprint per capita, and material footprint per GDP"
8: decent work and economic growth,"8.4.2: Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
9: industry innovation and infrastructure,9.1.1: Proportion of the rural population who live within 2 km of an all-season road
9: industry innovation and infrastructure,"9.1.2: Passenger and freight volumes, by mode of transport"
9: industry innovation and infrastructure,9.2.1: Manufacturing value added as a proportion of GDP and per capita
9: industry innovation and infrastructure,9.2.2: Manufacturing employment as a proportion of total employment
9: industry innovation and infrastructure,9.3.1: Proportion of small-scale industries in total industry value added
9: industry innovation and infrastructure,9.3.2: Proportion of small-scale industries with a loan or line of credit
9: industry innovation and infrastructure,9.4.1: CO2 emission per unit of value added
9: industry innovation and infrastructure,9.5.1: Research and development expenditure as a proportion of GDP
9: industry innovation and infrastructure,9.5.2: Researchers (in full-time equivalent) per million inhabitants
9: industry innovation and infrastructure,9.a.1: Total official international support (official development assistance plus other official flows) to infrastructure
9: industry innovation and infrastructure,9.b.1: Proportion of medium and high-tech industry value added in total value added
9: industry innovation and infrastructure,"9.c.1: Proportion of population covered by a mobile network, by technology"
10: reduced inequality,10.1.1: Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population
10: reduced inequality,"10.2.1: Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
10: reduced inequality,"10.4.1: Labour share of GDP, comprising wages and social protection transfers"
10: reduced inequality,10.5.1: Financial Soundness Indicators
10: reduced inequality,10.7.1: Recruitment cost borne by employee as a proportion of yearly income earned in country of destination
10: reduced inequality,10.7.2: Number of countries that have implemented well-managed migration policies
10: reduced inequality,10.a.1: Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff
10: reduced inequality,"10.b.1: Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
10: reduced inequality,10.c.1: Remittance costs as a proportion of the amount remitted
10: reduced inequality,10.3.1: Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
10: reduced inequality,10.6.1: Proportion of members and voting rights of developing countries in international organizations
11: sustainable cities and communities,"11.1.1: Proportion of urban population living in slums, informal settlements or inadequate housing"
11: sustainable cities and communities,"11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities"
11: sustainable cities and communities,11.3.1: Ratio of land consumption rate to population growth rate
11: sustainable cities and communities,11.3.2: Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically
11: sustainable cities and communities,"11.4.1: Total expenditure (public and private) per capita spent on the preservation, protection and conservation of all cultural and natural heritage, by type of heritage (cultural, natural, mixed and World Heritage Centre designation), level of government (national, regional and local/municipal), type of expenditure (operating expenditure/investment) and type of private funding (donations in kind, private non-profit sector and sponsorship)"
11: sustainable cities and communities,"11.5.2: Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters"
11: sustainable cities and communities,"11.6.1: Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities"
11: sustainable cities and communities,11.6.2: Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)
11: sustainable cities and communities,"11.7.1: Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities"
11: sustainable cities and communities,"11.7.2: Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
11: sustainable cities and communities,"11.a.1: Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size of city"
11: sustainable cities and communities,"11.c.1: Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local materials"
11: sustainable cities and communities,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
11: sustainable cities and communities,11.b.1: Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
11: sustainable cities and communities,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
12: responsible consumption and production,12.1.1: Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies
12: responsible consumption and production,12.3.1: Global food loss index
12: responsible consumption and production,"12.4.1: Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement"
12: responsible consumption and production,"12.4.2: Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment"
12: responsible consumption and production,"12.5.1: National recycling rate, tons of material recycled"
12: responsible consumption and production,12.6.1: Number of companies publishing sustainability reports
12: responsible consumption and production,12.7.1: Number of countries implementing sustainable public procurement policies and action plans
12: responsible consumption and production,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
12: responsible consumption and production,12.a.1: Amount of support to developing countries on research and development for sustainable consumption and production and environmentally sound technologies
12: responsible consumption and production,12.b.1: Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools
12: responsible consumption and production,12.c.1: Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels
12: responsible consumption and production,"12.2.1: Material footprint, material footprint per capita, and material footprint per GDP"
12: responsible consumption and production,"12.2.2: Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
13: climate action,"13.2.1: Number of countries that have communicated the establishment or operationalization of an integrated policy/strategy/plan which increases their ability to adapt to the adverse impacts of climate change, and foster climate resilience and low greenhouse gas emissions development in a manner that does not threaten food production (including a national adaptation plan, nationally determined contribution, national communication, biennial update report or other)"
13: climate action,"13.3.1: Number of countries that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula"
13: climate action,"13.3.2: Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions"
13: climate action,13.a.1: Mobilized amount of United States dollars per year between 2020 and 2025 accountable towards the $100 billion commitment
13: climate action,"13.b.1: Number of least developed countries and small island developing States that are receiving specialized support, and amount of support, including finance, technology and capacity-building, for mechanisms for raising capacities for effective climate change-related planning and management, including focusing on women, youth and local and marginalized communities"
13: climate action,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
13: climate action,13.1.2: Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
13: climate action,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
14: life below water,14.1.1: Index of coastal eutrophication and floating plastic debris density
14: life below water,14.2.1: Proportion of national exclusive economic zones managed using ecosystem-based approaches
14: life below water,14.3.1: Average marine acidity (pH) measured at agreed suite of representative sampling stations
14: life below water,14.4.1: Proportion of fish stocks within biologically sustainable levels
14: life below water,14.5.1: Coverage of protected areas in relation to marine areas
14: life below water,"14.6.1: Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
14: life below water,"14.7.1: Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries"
14: life below water,14.a.1: Proportion of total research budget allocated to research in the field of marine technology
14: life below water,14.b.1: Progress by countries in the degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries
14: life below water,"14.c.1: Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nation Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources"
15: life on land,15.1.1: Forest area as a proportion of total land area
15: life on land,"15.1.2: Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"
15: life on land,15.2.1: Progress towards sustainable forest management
15: life on land,15.3.1: Proportion of land that is degraded over total land area
15: life on land,15.4.1: Coverage by protected areas of important sites for mountain biodiversity
15: life on land,15.4.2: Mountain Green Cover Index
15: life on land,15.5.1: Red List Index
15: life on land,"15.6.1: Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
15: life on land,15.8.1: Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species
15: life on land,15.9.1: Progress towards national targets established in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
15: life on land,15.7.1: Proportion of traded wildlife that was poached or illicitly trafficked
15: life on land,15.c.1: Proportion of traded wildlife that was poached or illicitly trafficked
15: life on land,15.a.1: Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems
15: life on land,15.b.1: Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems
16: peace justice and strong institutions,"16.1.1: Number of victims of intentional homicide per 100,000 population, by sex and age"
16: peace justice and strong institutions,"16.1.2: Conflict-related deaths per 100,000 population, by sex, age and cause"
16: peace justice and strong institutions,"16.1.3: Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months"
16: peace justice and strong institutions,16.1.4: Proportion of population that feel safe walking alone around the area they live
16: peace justice and strong institutions,16.2.1: Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month
16: peace justice and strong institutions,"16.2.2: Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation"
16: peace justice and strong institutions,16.2.3: Proportion of young women and men aged 18?29 years who experienced sexual violence by age 18
16: peace justice and strong institutions,16.3.1: Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms
16: peace justice and strong institutions,16.3.2: Unsentenced detainees as a proportion of overall prison population
16: peace justice and strong institutions,16.4.1: Total value of inward and outward illicit financial flows (in current United States dollars)
16: peace justice and strong institutions,"16.4.2: Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments"
16: peace justice and strong institutions,"16.5.1: Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months"
16: peace justice and strong institutions,"16.5.2: Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months"
16: peace justice and strong institutions,"16.6.1: Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)"
16: peace justice and strong institutions,16.6.2: Proportion of population satisfied with their last experience of public services
16: peace justice and strong institutions,"16.7.1: Proportions of positions (by sex, age, persons with disabilities and population groups) in public institutions (national and local legislatures, public service, and judiciary) compared to national distributions"
16: peace justice and strong institutions,"16.7.2: Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
16: peace justice and strong institutions,"16.9.1: Proportion of children under 5 years of age whose births have been registered with a civil authority, by age"
16: peace justice and strong institutions,16.a.1: Existence of independent national human rights institutions in compliance with the Paris Principles
16: peace justice and strong institutions,"16.10.1: Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
16: peace justice and strong institutions,"16.10.2: Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information"
16: peace justice and strong institutions,16.b.1: Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
16: peace justice and strong institutions,16.8.1: Proportion of members and voting rights of developing countries in international organizations
17: partnerships for the goals,"17.1.1: Total government revenue as a proportion of GDP, by source"
17: partnerships for the goals,17.1.2: Proportion of domestic budget funded by domestic taxes
17: partnerships for the goals,"17.2.1: Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)"
17: partnerships for the goals,"17.3.1: Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget"
17: partnerships for the goals,17.3.2: Volume of remittances (in United States dollars) as a proportion of total GDP
17: partnerships for the goals,17.4.1: Debt service as a proportion of exports of goods and services
17: partnerships for the goals,17.5.1: Number of countries that adopt and implement investment promotion regimes for least developed countries
17: partnerships for the goals,"17.6.1: Number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation"
17: partnerships for the goals,"17.6.2: Fixed Internet broadband subscriptions per 100 inhabitants, by speed"
17: partnerships for the goals,"17.7.1: Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
17: partnerships for the goals,17.8.1: Proportion of individuals using the Internet
17: partnerships for the goals,"17.9.1: Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries"
17: partnerships for the goals,17.10.1: Worldwide weighted tariff-average
17: partnerships for the goals,17.11.1: Developing countries’ and least developed countries’ share of global exports
17: partnerships for the goals,"17.12.1: Average tariffs faced by developing countries, least developed countries and small island developing States"
17: partnerships for the goals,17.13.1: Macroeconomic Dashboard
17: partnerships for the goals,17.14.1: Number of countries with mechanisms in place to enhance policy coherence of sustainable development
17: partnerships for the goals,17.15.1: Extent of use of country-owned results frameworks and planning tools by providers of development cooperation
17: partnerships for the goals,17.16.1: Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals
17: partnerships for the goals,17.17.1: Amount of United States dollars committed to public-private and civil society partnerships
17: partnerships for the goals,"17.18.1: Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics"
17: partnerships for the goals,17.18.2: Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics
17: partnerships for the goals,"17.18.3: Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding"
17: partnerships for the goals,17.19.1: Dollar value of all resources made available to strengthen statistical capacity in developing countries
17: partnerships for the goals,17.19.2: Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration
17.19.2: Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,Birth certificate ownership (NHPC)
"11.1.1: Proportion of urban population living in slums, informal settlements or inadequate housing",Ethnicity (NHPC)
5.3.1: Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,Marital Status (WIS)
"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Place to wash  hands (WIS)
6.6.1: Change in the extent of water-related ecosystems over time,Place to wash hands - observed (WIS)
6.5.2: Proportion of transboundary basin area with an operational arrangement for water cooperation,Place to wash hands - observed (WIS)
6.4.1: Change in water-use efficiency over time,Place to wash hands - observed (WIS)
6.5.2: Proportion of transboundary basin area with an operational arrangement for water cooperation,Water souces used on a regular basis (WIS)
6.4.2: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Water souces used on a regular basis (WIS)
6.5.1: Degree of integrated water resources management implementation (0-100),Water souces used on a regular basis (WIS)
6.3.2: Proportion of bodies of water with good ambient water quality,Water souces used on a regular basis (WIS)
6.1.1: Proportion of population using safely managed drinking water services,Source of drinking water (WIS)
6.4.1: Change in water-use efficiency over time,Water source for other purposes (WIS)
6.4.2: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Water source for other purposes (WIS)
6.5.2: Proportion of transboundary basin area with an operational arrangement for water cooperation,Water source for other purposes (WIS)
6.b.1: Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Water source for other purposes (WIS)
6.a.1: Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Water source for other purposes (WIS)
6.3.1: Proportion of wastewater safely treated,Water source for other purposes (WIS)
"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Uses of the water source (WIS)
6.1.1: Proportion of population using safely managed drinking water services,Uses of the water source (WIS)
6.4.2: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Uses of the water source (WIS)
6.3.2: Proportion of bodies of water with good ambient water quality,Availability of the water source (WIS)
6.4.2: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Availability of the water source at specific time (WIS)
"9.1.2: Passenger and freight volumes, by mode of transport",Period to and from water source (WIS)
"5.a.1: (a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Ownership of a garden (WIS)
6.3.1: Proportion of wastewater safely treated,Toilet facility used  (WIS)
"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Toilet facility used  (WIS)
"3.9.2: Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",Toilet facility used  (WIS)
"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Main toilet facilty used (WIS)
"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Frequency of toilet facilty usage (WIS)
"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Toilet facilty sharing (WIS)
"3.9.2: Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",Toilet facilty sharing (WIS)
"3.9.2: Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",Number of households that share a toilet facility (WIS)
